Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments,Subsystem
"C168_DIG_IND_IN_1, C168_DIG_IND_IN_2, C168_DIG_IND_IN_3, C168_DIG_IND_IN_4, C168_DIG_IND_IN_5, C168_DIG_IND_IN_6, C168_DIG_IND_IN_7, C168_DIG_IND_IN_8, C168_DIG_IND_IN_9, C168_DIG_IND_IN_10, C168_DIG_IND_IN_11, C168_DIG_IND_IN_12, C168_DIG_IND_IN_13, C168_DIG_IND_IN_14",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0603",14,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C169_DIG_IND_IN_1, C169_DIG_IND_IN_2, C169_DIG_IND_IN_3, C169_DIG_IND_IN_4, C169_DIG_IND_IN_5, C169_DIG_IND_IN_6, C169_DIG_IND_IN_7, C169_DIG_IND_IN_8, C169_DIG_IND_IN_9, C169_DIG_IND_IN_10, C169_DIG_IND_IN_11, C169_DIG_IND_IN_12, C169_DIG_IND_IN_13, C169_DIG_IND_IN_14",0603,Passives,Capacitors,MLCC,GENERIC,CC0603_100NF_50V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0603",14,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C176, C180, C265, C266",0805,Passives,Capacitors,MLCC,GENERIC,CC0805_1UF_100V_10%_X7S,"SMD Multilayer Chip Ceramic Capacitor, 1µF, 100V, X7S, 0805",6,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0805 MLCC.,digital_control
"C181, C227_P24V_FUSE1, C227_P24V_FUSE2, C227_P24V_FUSE3, C227_P24V_FUSE4, C227_P24V_FUSE5, C227_P24V_FUSE6, C227_P24V_FUSE7, C227_P24V_FUSE8",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_10NF_25V_10%_X7R,"SMD Multilayer Chip Ceramic Capacitor, 10nF, 25V, X7R, 0402",9,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C209, C210",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_33PF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 33pF, 50V, C0G, 0402",2,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"C243, C244, C245, C246, C251, C252, C253",0402,Passives,Capacitors,MLCC,GENERIC,CC0402_470NF_50V_10%_X5R,"SMD Multilayer Chip Ceramic Capacitor, 470nF, 50V, X5R, 0402",7,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
C263,0402,Passives,Capacitors,MLCC,GENERIC,CC0402_100PF_50V_5%_C0G,"SMD Multilayer Chip Ceramic Capacitor, 100pF, 50V, C0G, 0402",1,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402,digital_control
"D1, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D34, D35, D36, D37, D40, D41, D42, D43, D44, D45, D46",SOD523,Discrete Semiconductors,Small Signal,Diode,ON SEMICONDUCTOR,ESD351DPY,1 Channel 30KV ESD Protection Diode with Low Clamping Voltage,24,kg,0.0000016,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,mas info: https://www.mouser.ch/ProductDetail/Texas-Instruments/ESD321DPYR?qs=w%2Fv1CP2dgqoz82xSjB3hKw%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5Gb6CfCx7bDV5PaCgnjfeVkPBUioh6SyvV-N967xG0ujy-XaX5kZMxoCOPkQAvD_BwE,digital_control
D2,SOT23,Discrete Semiconductors,ESD Protection,NXP,PRTR5V0U2X,40V 200mA PNP General Purpose Transistor,Ultra Low Capacitance (1pF) Double Rail-to-Rail ESD Protection Diode (8kV),1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,SOT23-3 package; mass standard from casing.,digital_control
"D15_CONTACT_OUT_0, D15_CONTACT_OUT_1, D15_CONTACT_OUT_2, D15_CONTACT_OUT_3, D15_CONTACT_OUT_4, D15_CONTACT_OUT_5",DO214AC,Discrete Semiconductors,Small Signal,TVS,BOURNS,SMAJ60CA,Surface Mount Bi-directional Transient Voltage Suppressor Diode,6,kg,0.000061,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,DO-214AC (SMA) package; mass from typical SMAJ series (~0.12g).https://www.mouser.ch/ProductDetail/Littelfuse/SMAJ58CA?qs=zHiv0nsVGmqWEBj8DDvFYg%3D%3D&utm_id=9873308309&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=9873308309&gbraid=0AAAAADn_wf0xksvJXPRZmGpTG3_AWCgE9&gclid=CjwKCAjwspPOBhB9EiwATFbi5DVFIS5iZ0I7SaEpkD6SkhO4yjgczxct-NmvBDTe0JJtc29rDoJWNxoCKXAQAvD_BwE,digital_control
"D16, D17, D18, D19, D20, D21, D23, D24, D25, D26, D27, D28",0402,Discrete Semiconductors,Small Signal,ESD Protection,TI,0402ESDA-MLP,0.05pF 8kV Bidirectional ESD Voltage Suppressor,12,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,,digital_control
"D30, D31, D54, D55, D56, D57, D58, D59, D60, D61, D62, D63, D64, D65",SOD123,Discrete Semiconductors,Small Signal,Current Regulative,SEMITEC,S-103T,Current Regulative Diode (CRD),14,kg,0.000333,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,https://www.mouser.ch/ProductDetail/Semitec/S-103T?qs=wgO0AD0o1vvf9UGICXPRmQ%3D%3D&srsltid=AfmBOopD8b71ZGh61gk1tI5mDPGxJ7kz40yhpJ5_m9d2wYXbavCx1hei,digital_control
"D32_DIG_FAST_IN_CCT_0, D32_DIG_FAST_IN_CCT_1, D32_DIG_FAST_IN_CCT_2, D32_DIG_FAST_IN_CCT_3, D32_DIG_FAST_IN_CCT_4, D32_DIG_FAST_IN_CCT_5, D32_DIG_FAST_IN_CCT_6, D32_DIG_FAST_IN_CCT_7, D32_DIG_FAST_IN_CCT_8, D32_DIG_FAST_IN_CCT_9, D32_DIG_FAST_IN_CCT_10, D32_DIG_FAST_IN_CCT_11, D32_DIG_FAST_IN_CCT_12, D32_DIG_FAST_IN_CCT_13",SOT23,Discrete Semiconductors,Small Signal,Switching,DIODES INC.,BAS70-04,30V Silicon Hot-Carrier Detector and Switching Diode,14,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,SOT23-3 package; mass standard from casing.,digital_control
"D33_DIG_FAST_IN_CCT_0, D33_DIG_FAST_IN_CCT_1, D33_DIG_FAST_IN_CCT_2, D33_DIG_FAST_IN_CCT_3, D33_DIG_FAST_IN_CCT_4, D33_DIG_FAST_IN_CCT_5, D33_DIG_FAST_IN_CCT_6, D33_DIG_FAST_IN_CCT_7, D33_DIG_FAST_IN_CCT_8, D33_DIG_FAST_IN_CCT_9, D33_DIG_FAST_IN_CCT_10, D33_DIG_FAST_IN_CCT_11, D33_DIG_FAST_IN_CCT_12, D33_DIG_FAST_IN_CCT_13",SOT23,Discrete Semiconductors,Small Signal,Zener,NXP,BZX84-C4V7,Zener Voltage Regulator,14,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,SOT23-3 package; mass standard from casing.,digital_control
"D38, D39",SOD123FL,Discrete Semiconductors,Power,Schottky Rectifier,DIODES INC.,DFLS230,Schottky Barrier Rectifier,2,kg,0.000018,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,https://www.mouser.mx/ProductDetail/Diodes-Incorporated/DFLS230-7?qs=JV7lzlMm3yJTkwg6QdustA%3D%3D&srsltid=AfmBOoqPfUZr9EODjAGri1UBJpfeRZ8CapF2HzTbel3GD8i6hwPfW7Xa,digital_control
D47,SOT23,Discrete Semiconductors,Small Signal,Schottky,DIODES INC.,BAT54C,Dual Common Cathode Small Signal Schottky Diode,1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,SOT23-3 package; mass standard from casing.,digital_control
D48,SOT23,Discrete Semiconductors,Small Signal,Zener,DIODES INC.,BZX84C4V7,Zener Diode,1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,SOT23-3 package; mass standard from casing.,digital_control
"D50, D51, D52, D53",SOD523,Discrete Semiconductors,Small Signal,ESD Protection,NEXPERIA,PESD3V3S1UB,ESD protection diode (23kV),4,kg,0.0000016,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,mass from casing,digital_control
"F1, F2, F3, F4, F5, F6, F8, F9, F10, F11, F12, F13",1206,Passives,Protection,PTC Fuse,BOURNS,MF-SM030,"Surface Mount PTC Resettable Fuse, 300mA, 60V, PTS Series",12,kg,0.000474,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,Mass info: https://www.tme.eu/bg/en/details/mf-sm030-2/smd-polymer-fuses/bourns/,digital_control
IC1,,IC,Logic / Mixed-Signal,USB Interface,FTDI,FT4232H-56Q,Quad High Speed USB to Multipurpose UART/MPSSE IC,1,kg,0.000369,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/FTDI/FT4232H-56Q-REEL?qs=u4lROS522ZXOAajeXbX%2FmA%3D%3D&srsltid=AfmBOoo_CyuzmuQGSV8qIsJ3FK9ef2SL6_YhveYAmIMR28WsW7ui1qeg,digital_control
IC2,,IC,Memory,EEPROM,MICROCHIP,93LC56B-I/OT,"2K, 128X16-bit, 2.5V Microwire Compatible Serial EEPROM",1,kg,0.0000065,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Microchip-Technology/93LC56BT-I-OT?qs=lQv0JY93vrc7B5Rh5LPW8g%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5D_n54ESvg5TFVXDGnzANCaxzjxC9ymSBAajzYRTqbLjRmIF6muWYhoC3QoQAvD_BwE,digital_control
IC3,,IC,Analog,Power Management,MICROCHIP,MIC5219-3.3YM5,3.3V 500mA Peak Output Low Drop-Out (LDO) Regulator,1,kg,0.000063,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,SOT23-5 package; mass from volume (0.0051 cm³) × 1.25 + metal_extra 0.0015 = 0.0079 g.https://www.mouser.ch/ProductDetail/Microchip-Technology/MIC5219-33YM5-TR?qs=U6T8BxXiZAWojkIJMtSJlw%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5Hvx8qEgGwKmH4k0hTk5ddJ9Ah036eQNJRXK517bGR5Dy3IbDm4sGhoCU8cQAvD_BwE,digital_control
"IC4, IC5, IC49",,IC,Analog,Sensor,TEXAS INSTRUMENTS,LM75AIMM/NOPB,-25° to +100°C ±2°C Digital Temperature Sensor and Thermal Watchdog with Two-Wire Interface,3,kg,0.000031,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/LM75AIMMX-NOPB?qs=QbsRYf82W3EzczEYb3tXUw%3D%3D&utm_id=22436684839&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=22433179847&gbraid=0AAAAADn_wf1l8ruSsPF_DckQU7MzW_QXa&gclid=CjwKCAjwspPOBhB9EiwATFbi5JrjytZua-y5B42GK1_LaayPaVKI0IkQFsEFVSFcvQmqFsOT2AWlyhoCXIsQAvD_BwE,digital_control
"IC6, IC7, IC60",SOIC-8,IC,Mixed-Signal,Isolator,TEXAS INSTRUMENTS,ISO1541D,Low-Power Bi-Directional I2C Isolator,3,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.mx/ProductDetail/Texas-Instruments/ISO1541D?qs=rg6Iqu58vpX7sSwEg8DO7Q%3D%3D&srsltid=AfmBOorTK5TtypdwEgo56vH5tqzxL9x4Zpbt0RSDXoWLVfm-YZbnnuwQ,digital_control
"IC8, IC42",,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LVC8T245RHL,8-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs,2,kg,0.000050,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74LVC8T245RHLR?qs=dT9u2OTAaVWMeuErzytHQg%3D%3D&srsltid=AfmBOopve09sA5PMaAvfty20jfjYyyxL3pM3-a_noOQlXR1kMdrqlZWP,digital_control
"IC9, IC10, IC22, IC23, IC24, IC33, IC38",,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74AXC8T245RHL,8-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs,7,kg,0.000050,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Same VQFN-24.,digital_control
"IC11_CONTACT_OUT_0, IC11_CONTACT_OUT_1, IC11_CONTACT_OUT_2, IC11_CONTACT_OUT_3, IC11_CONTACT_OUT_4, IC11_CONTACT_OUT_5",DIP6 SMD,Modules,Hybrid Relays,Solid State Relay,PANASONIC,AQV251A,"HE 1 Form A, PhotoMOS Relay, Low On-Resistance, 40V 500mA",1,kg,0.000427,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists.,digital_control
"IC12, IC13, IC70, IC75",TSSOP14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LV02APW,Quadruple 2-Input Positive-NOR Gate,4,kg,0.0000572,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74LV02APW?qs=UG%2F8xqv%2F6Wcp3JUxMEyKAQ%3D%3D,digital_control
IC14,SOT89,IC,Analog,Power Management,STMICROELECTRONICS,L78L05ACUTR,5V 100mA Positive Voltage Regulator,1,kg,0.00019,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/STMicroelectronics/L78L05ACUTR?qs=ea963RooIhgG%252BOLUK%2FI3vQ%3D%3D,digital_control
"IC15, IC17",TSSOP16,IC,Analog,Driver,TEXAS INSTRUMENTS,TPL7407LAPW,30-V 7-Channel Low Side Driver,2,kg,0.000173,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/TPL7407LAPWR?qs=5aG0NVq1C4w9BpsnF07yow%3D%3D,digital_control
IC16,SOT223,IC,Analog,Power Management,TEXAS INSTRUMENTS,TLV1117-18IDCY,"1.8V, 800mA Low-Dropout Voltage Regulator",1,kg,0.000112,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/TLV1117-18IDCY?qs=p6lVfQR1GSoxnN6%252Be%252BbeYw%3D%3D,digital_control
"IC18, IC19",TSSOP38,IC,Mixed-Signal,Interface,TEXAS INSTRUMENTS,SN65MLVD082DGG,8-Channel Half-Duplex M-LVDS Line Transceiver,2,kg,0.0002626,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"TSSOP-38; volume 9.7×4.4×1 = 0.0427 cm³, mass ~0.0634 g.",digital_control
"IC20, IC21, IC76, IC77, IC78, IC79, IC81",SOIC8,IC,Optoelectronics,Optocoupler,BROADCOM,HCPL-063L-000E,"Dual-Channel, High Speed LVTTL Compatible 3.3 Volt Optocoupler",7,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from casing,digital_control
"IC25, IC32, IC34, IC35, IC36, IC37, IC39, IC40",VSON8,IC,Digital,Interface,TEXAS INSTRUMENTS,SN65HVD78DRB,"3.3-V Supply RS-485 With IEC ESD protection, 50Mbps",8,kg,0.000024,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN65HVD78DRBR?qs=uuvYgmlZVOvZX%2Fzgsy5uJA%3D%3D,digital_control
"IC26, IC27, IC28, IC29, IC30, IC31",VQFN16,IC,Digital,Interface,TEXAS INSTRUMENTS,AM26LV31EIRGY,Low-Voltage High-Speed Quadruple Differential Line Driver with ±15-kV IEC ESD Protection,6,kg,0.0000372,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,,digital_control
IC41,LFCSP20,IC,Analog,Power Management,ANALOG DEVICES,ADP5071ACP,2 A/1.2 A DC-to-DC Switching Regulator with Independent Positive and Negative Outputs,1,kg,0.0000584,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"LFCSP-20 4x4mm; volume 0.012 cm³, mass ~0.02 g.",digital_control
IC43,TSSOP14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LVC14APW,Hex Schmitt-Trigger Inverter,1,kg,0.0000572,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,TSSOP-14.,digital_control
"IC44_DIG_IND_IN_1, IC44_DIG_IND_IN_2, IC44_DIG_IND_IN_3, IC44_DIG_IND_IN_4, IC44_DIG_IND_IN_5, IC44_DIG_IND_IN_6, IC44_DIG_IND_IN_7, IC44_DIG_IND_IN_8, IC44_DIG_IND_IN_9, IC44_DIG_IND_IN_10, IC44_DIG_IND_IN_11, IC44_DIG_IND_IN_12, IC44_DIG_IND_IN_13, IC44_DIG_IND_IN_14",TSSOP24,IC,Mixed-Signal,Isolated Digital Input,TEXAS INSTRUMENTS,ISO1228DFB,Eight-Channel Isolated Digital Input with Current Limit and Diagnostics,14,kg,0.00015,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"TSSOP-24; volume 7.8×4.4×1 = 0.0343 cm³, mass ~0.053 g.",digital_control
"IC45, IC46, IC47, IC85",VQFN14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LVC07ARGY,Hex Buffer with Open-Drain Outputs,4,kg,0.0000322,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,,digital_control
IC51,LGA25,IC,Analog,Power Management,ANALOG DEVICES,LTM4623EY,"4V-20V to 0.6V-5.5V, Iout 3A Step-Down DC/DC uModule Regulator",1,kg,0.0005,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,https://www.mouser.ch/ProductDetail/Analog-Devices/LTM4623EYPBF?qs=oahfZPh6IAKdnYwXJmocfg%3D%3D,digital_control
IC52,SOIC8,IC,Memory,EEPROM,MICROCHIP,24AA025E48-I/SN,"1.7V-5.5V, 2K I2C™ Serial EEPROMs with EUI-48™ Node Identity",1,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from casing,digital_control
"IC53, IC54, IC55, IC58, IC59",UQFN10,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74AVC2T245RSWR,Dual-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs,5,kg,0.000031,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,"UQFN-10; volume 0.0015 cm³, mass ~0.0024 g.",digital_control
"IC56, IC57",VSSOP8,IC,Mixed-Signal,Voltage Translator,TEXAS INSTRUMENTS,PCA9306DCUR,Dual Bidirectional I2C Bus and SMBus Voltage-Level Translator,2,kg,0.0000096,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,VSSOP-8; mass ~0.0116 g.,digital_control
"IC61, IC62, IC63, IC64, IC65",VSSOP10,IC,Mixed-Signal,Power Monitor,TEXAS INSTRUMENTS,INA226AIDGST,"High-or Low Side Measurement, Bi-Directional Current/Power Monitor with I2C Interface",5,kg,0.0000237,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,VSSOP-10; same mass as VSSOP-8 (0.0116g).,digital_control
"IC66, IC68",TSSOP14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74HCS4075PW,Triple 3-Input OR Gate with Schmitt-Trigger Inputs,2,kg,0.0000572,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,TSSOP-14.,digital_control
"IC67, IC71, IC72, IC73, IC74",TSSOP14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LVC74APWT,Dual Positive-Edge-Triggered D-Type Flip Flop with Clear And Reset,5,kg,0.0000572,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,TSSOP-14.,digital_control
J1,,Electromechanical,Connectors,High-Speed I/O,TE CONNECTIVITY,1-2007637-5,2x2 Press Fit SFP+ Cage and PT Connectors Assembly with EMI Springs,1,kg,0.0162,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,https://www.mouser.ch/ProductDetail/TE-Connectivity/1-2007637-5?qs=qnhXEskkPyvt9BrFBsiKkQ%3D%3D,digital_control
"J2, J3, J4",,Electromechanical,Connectors,High-Density Array,SAMTEC,ADF6-100-03.5-L-4-2-A,400 contacts (4 rows abcd) High-Density Slim Body Arrays Female Connector without Alignment Pin,3,kg,0.0738,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,https://www.tme.com/ph/en/details/adf6-60-03.5-l-4-2/board-to-board-connectors/samtec/adf6-60-03-5-l-4-2-a-tr/,digital_control
J5,,Electromechanical,Connectors,Right Angle Header,AMPHENOL,10052825-101LF,"72 Contacts, 2mm Pitch, 6 Columns, 4 Pairs per Column, 4 Walls, Right Angle Header",1,kg,0.015336,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,http://mouser.ch/ProductDetail/Amphenol-FCI/10052825-101LF?qs=qObghIyrWxrXt6HI1S6RBA%3D%3D,digital_control
"J6, J13, J14",,Electromechanical,Connectors,Right Angle Header,AMPHENOL,10052837-101LF,"96 Contacts, 2mm Pitch, 8 Columns, 4 Pairs per Column, 2 Walls, Right Angle Header",3,kg,0.015169,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,https://www.mouser.ch/ProductDetail/Amphenol-FCI/10052837-101LF?qs=qObghIyrWxqSnJki6yjatA%3D%3D,digital_control
J7,,Electromechanical,Connectors,Modular Jack,ABRACON,ARJM11D7-502-AB-EW2,DC-10MBd Versatile Link Fiber Optic Analog Transmitter for 1 mm POF and 200 µm PCS,1,kg,0.010248,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,RJ45 with integrated magnetics; mass ~12g.,digital_control
J8,,Electromechanical,Connectors,USB,KYCON,KUSBX-SL-CS1N14-B,"USB 2.0 Type C Receptacle, High Temp., Flag Style Through Hole 14 Pin, Black",1,kg,0.002841,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,Mass from typical USB-C connectors (~3g).,digital_control
J9,,Electromechanical,Connectors,PicoBlade,MOLEX,530480310,"1.25mm Pitch, PicoBlade PCB Header, Right-Angle, Through Hole, Tin (Sn) Plating, Friction Lock, 3 Circuits, Tray, 2.30mm PC Tail Length",1,kg,0.0009276,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,https://www.mouser.ch/ProductDetail/Molex/53048-0310?qs=zXrbR4Jv0OfUlEeVnlaifA%3D%3D,digital_control
J10,,Electromechanical,Connectors,PicoBlade,MOLEX,53261-1071,"1.25mm (.049\"") Pitch PicoBlade™ Surface Mount 10 Circuits Right Angle Header",1,kg,0.000279,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,Mass estimated (~1g).,digital_control
J11,,Electromechanical,Connectors,FFC/FPC,MOLEX,2203631200,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 120 Circuits, Gold over Nickel Plating",1,kg,0.0015,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,Mass estimated (~2g).,digital_control
J12,,Electromechanical,Connectors,FFC/FPC,MOLEX,2203630800,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 80 Circuits, Gold over Nickel Plating",1,kg,0.0005,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,Mass estimated (~1.5g).,digital_control
"L1, L2, L3",0603,Passives,Inductors,Ferrite Bead,MURATA,BLM18SG121TN1D,SMD EMIFIL Suppression Chip Ferrite Bead,3,kg,,NO,1.6,0.8,0.8,,4.5,5.5,,,EcoInvent,"inductor production, low value multilayer chip",kg,Input,"Mass from casing, different density than in capacitors, the EcoInvent dataset is accurate",digital_control
"L4, L5, L6, L7, L13, L14, L15, L16, L17",0603,Passives,Inductors,Ferrite Bead,MURATA,BLM18SG221TN1,SMD EMIFIL Suppression Chip Ferrite Bead,9,kg,,NO,1.6,0.8,0.8,,4.5,5.5,,,EcoInvent,"inductor production, low value multilayer chip",kg,Input,"Mass from casing, different density than in capacitors, the EcoInvent dataset is accurate",digital_control
L8,,Passives,Inductors,,WURTH ELEKTRONIK,7447797180,1,2,kg,0.002,YES,,,,,,,,,EcoInvent,"inductor production, ring core choke type",kg,Input,The ecoinvent model is of a 6.3 g so is closer than the other model. https://www.mouser.mx/ProductDetail/Wurth-Elektronik/7447797180?qs=J4sk5G6CMwZAcdfQztcYmw%3D%3D,digital_control
